sweep_name,sweep_value,method,avg_rate_mean,avg_rate_std,outage_mean,outage_std,beam_success_mean,beam_success_std,avg_return_mean,avg_return_std,latency_ms_mean,latency_ms_std
blocker_density,0.0,BeliefAwareRollout,5.132372100195504,0.14236523462013473,0.07775000000000001,0.011575836902790225,0.76325,0.017131841699011833,4.924522100195503,0.1649836810979347,0.5708626176992766,0.01764068916154305
blocker_density,0.0,OneStepPredictive,4.153667300984288,0.36403090260722176,0.01125,0.0034460121880225555,0.91375,0.02131607374729219,4.122729800984287,0.35696147042100335,0.25737603198831494,0.0017672655582360857
blocker_density,0.0,Oracle,6.234974586241305,0.11887710986288254,0.0,0.0,0.9155000000000001,0.006103277807866839,6.221849586241303,0.11828615992693796,0.705493416247009,0.0013358690075078116
blocker_density,0.0,ProposedV2,5.29890819343848,0.07365415008841904,0.06000000000000001,0.006174544517614234,0.7862499999999999,0.01641264756216984,5.13169569343848,0.08566458508461472,0.1495372613053405,0.0063230039951818464
blocker_density,0.0,Reactive,5.279806440941489,0.09921920663624688,0.07125000000000001,0.013205112646244258,0.7662500000000001,0.019186583854349938,5.088368940941489,0.12358063907364258,0.002659701982338447,1.6559799257550357e-05
blocker_density,1.0,BeliefAwareRollout,4.864650856030242,0.11124031789362554,0.10525000000000002,0.017507141400011597,0.7444999999999999,0.02104459550573497,4.601013356030241,0.14406545765370204,0.7636872377715918,0.08159335235570962
blocker_density,1.0,OneStepPredictive,4.08132977163432,0.13109968909549466,0.03225,0.012781823031164215,0.89025,0.01837797594948912,4.0074922716343195,0.13894606627259376,0.2714305145009348,0.005909063092842265
blocker_density,1.0,Oracle,6.094858986514812,0.09489017211354432,0.00025,0.0005,0.9185000000000001,0.010706306552681948,6.0788339865148115,0.09409457025670978,1.4964156862306481,0.006814619089907124
blocker_density,1.0,ProposedV2,5.0101752278135,0.1281138052900696,0.077,0.011084899638697682,0.78125,0.01267379185563659,4.8130127278135,0.14692111001700725,0.3065576397530094,0.042192292816381004
blocker_density,1.0,Reactive,5.032370188744561,0.12044029452468664,0.10075,0.01969454239123113,0.7452500000000001,0.01899671024151287,4.77690768874456,0.15647946631940524,0.002713513253183919,4.4344782477531914e-05
