sweep_name,sweep_value,method,avg_rate_mean,avg_rate_std,outage_mean,outage_std,beam_success_mean,beam_success_std,avg_return_mean,avg_return_std,latency_ms_mean,latency_ms_std
blocker_density,0.0,BeliefAwareRollout,5.238458483901639,0.0,0.06666666666666667,0.0,0.8166666666666667,0.0,5.070125150568305,0.0,7.9649233317468315,0.0
blocker_density,0.0,OneStepPredictive,5.176618471788427,0.0,0.06666666666666667,0.0,0.8,0.0,5.020785138455095,0.0,3.8563250011065975,0.0
blocker_density,0.0,Oracle,5.619798889592589,0.0,0.0,0.0,0.9166666666666666,0.0,5.614798889592589,0.0,1.6393416667900358,0.0
blocker_density,0.0,ProposedV2,5.238458483901639,0.0,0.06666666666666667,0.0,0.8166666666666667,0.0,5.070125150568305,0.0,0.01096832954014341,0.0
blocker_density,0.0,Reactive,5.238458483901639,0.0,0.06666666666666667,0.0,0.8166666666666667,0.0,5.070125150568305,0.0,0.007036665920168161,0.0
blocker_density,1.0,BeliefAwareRollout,4.940058490550196,0.0,0.1,0.0,0.7833333333333333,0.0,4.7000584905501945,0.0,14.152610000261726,0.0
blocker_density,1.0,OneStepPredictive,5.134439665298923,0.0,0.05,0.0,0.9333333333333333,0.0,5.009439665298923,0.0,4.389434999514681,0.0
blocker_density,1.0,Oracle,5.548077893743783,0.0,0.0,0.0,0.9166666666666666,0.0,5.543077893743783,0.0,3.1131050006176033,0.0
blocker_density,1.0,ProposedV2,5.1632165839920345,0.0,0.05,0.0,0.8333333333333334,0.0,5.028216583992033,0.0,0.2670366734188671,0.0
blocker_density,1.0,Reactive,5.1632165839920345,0.0,0.05,0.0,0.8333333333333334,0.0,5.028216583992033,0.0,0.007076664284492533,0.0
blocker_density,2.0,BeliefAwareRollout,4.855553482871007,0.0,0.15,0.0,0.75,0.0,4.505553482871006,0.0,12.144098329008557,0.0
blocker_density,2.0,OneStepPredictive,2.968514043000347,0.0,0.016666666666666666,0.0,0.9,0.0,2.9251807096670137,0.0,4.019501668517478,0.0
blocker_density,2.0,Oracle,5.5681056232694575,0.0,0.0,0.0,0.9166666666666666,0.0,5.563105623269457,0.0,4.551756671086575,0.0
blocker_density,2.0,ProposedV2,4.696675456914409,0.0,0.13333333333333333,0.0,0.7666666666666667,0.0,4.380008790247742,0.0,0.7193916700392341,0.0
blocker_density,2.0,Reactive,4.855553482871007,0.0,0.15,0.0,0.75,0.0,4.505553482871006,0.0,0.006926665082573891,0.0
blocker_density,3.0,BeliefAwareRollout,4.853155986150403,0.0,0.15,0.0,0.75,0.0,4.498155986150405,0.0,13.405811671206417,0.0
blocker_density,3.0,OneStepPredictive,4.416031752426567,0.0,0.06666666666666667,0.0,0.8166666666666667,0.0,4.267698419093234,0.0,5.24418500426691,0.0
blocker_density,3.0,Oracle,5.548812181893994,0.0,0.0,0.0,0.9166666666666666,0.0,5.543812181893994,0.0,5.908545002845737,0.0
blocker_density,3.0,ProposedV2,4.991052015205953,0.0,0.11666666666666667,0.0,0.7833333333333333,0.0,4.712718681872619,0.0,0.7405633349359656,0.0
blocker_density,3.0,Reactive,4.776976838501691,0.0,0.16666666666666666,0.0,0.7333333333333333,0.0,4.388643505168357,0.0,0.006828333910865088,0.0
blocker_speed,0.5,BeliefAwareRollout,4.408759806127249,0.0,0.21666666666666667,0.0,0.6666666666666666,0.0,3.925426472793916,0.0,14.90171666664537,0.0
blocker_speed,0.5,OneStepPredictive,3.818471881475262,0.0,0.16666666666666666,0.0,0.7666666666666667,0.0,3.460138548141928,0.0,3.6910816706949845,0.0
blocker_speed,0.5,Oracle,5.323286974027809,0.0,0.0,0.0,0.9166666666666666,0.0,5.315786974027808,0.0,3.1578916639167196,0.0
blocker_speed,0.5,ProposedV2,4.662609339019801,0.0,0.11666666666666667,0.0,0.7666666666666667,0.0,4.371776005686468,0.0,0.5021966712471718,0.0
blocker_speed,0.5,Reactive,4.460884755297772,0.0,0.2,0.0,0.6833333333333333,0.0,4.000884755297772,0.0,0.006646667801154156,0.0
blocker_speed,1.0,BeliefAwareRollout,4.923263257950607,0.0,0.11666666666666667,0.0,0.7666666666666667,0.0,4.644929924617273,0.0,10.475443332688883,0.0
blocker_speed,1.0,OneStepPredictive,4.606536303031424,0.0,0.08333333333333333,0.0,0.8,0.0,4.417369636364757,0.0,3.7865050020627677,0.0
blocker_speed,1.0,Oracle,5.525315022797866,0.0,0.0,0.0,0.9166666666666666,0.0,5.5178150227978655,0.0,3.1699349977619327,0.0
blocker_speed,1.0,ProposedV2,5.023544912946925,0.0,0.08333333333333333,0.0,0.8,0.0,4.819378246280257,0.0,0.3517049956523503,0.0
blocker_speed,1.0,Reactive,5.005760062801599,0.0,0.08333333333333333,0.0,0.8,0.0,4.801593396134932,0.0,0.006881664739921689,0.0
blocker_speed,1.5,BeliefAwareRollout,4.405382779117545,0.0,0.21666666666666667,0.0,0.65,0.0,3.907049445784211,0.0,9.601256666549792,0.0
blocker_speed,1.5,OneStepPredictive,5.062841426910093,0.0,0.05,0.0,0.8333333333333334,0.0,4.942841426910092,0.0,3.729780003777705,0.0
blocker_speed,1.5,Oracle,5.525659188308677,0.0,0.0,0.0,0.9166666666666666,0.0,5.518159188308676,0.0,3.1665683345636353,0.0
blocker_speed,1.5,ProposedV2,4.508318846999205,0.0,0.16666666666666666,0.0,0.7,0.0,4.112485513665871,0.0,0.17440833034925163,0.0
blocker_speed,1.5,Reactive,4.485775792639483,0.0,0.18333333333333332,0.0,0.6833333333333333,0.0,4.051609125972815,0.0,0.006789998345387478,0.0
blocker_speed,2.0,BeliefAwareRollout,4.6300255523888065,0.0,0.16666666666666666,0.0,0.7166666666666667,0.0,4.241692219055475,0.0,10.55292332797156,0.0
blocker_speed,2.0,OneStepPredictive,4.668251259195713,0.0,0.05,0.0,0.8333333333333334,0.0,4.545751259195712,0.0,3.712180000729859,0.0
blocker_speed,2.0,Oracle,5.456134837902697,0.0,0.0,0.0,0.9166666666666666,0.0,5.448634837902698,0.0,3.0359733345297477,0.0
blocker_speed,2.0,ProposedV2,4.605845174562831,0.0,0.13333333333333333,0.0,0.7666666666666667,0.0,4.291678507896165,0.0,0.3312916650126378,0.0
blocker_speed,2.0,Reactive,4.709616171551491,0.0,0.13333333333333333,0.0,0.75,0.0,4.390449504884827,0.0,0.006670002282286684,0.0
obs_noise,0.0,BeliefAwareRollout,5.123974240428692,0.0,0.1,0.0,0.8166666666666667,0.0,4.898974240428691,0.0,13.378271663289828,0.0
obs_noise,0.0,OneStepPredictive,4.787833894490626,0.0,0.05,0.0,0.8333333333333334,0.0,4.670333894490625,0.0,3.965891660967221,0.0
obs_noise,0.0,Oracle,5.525315022797866,0.0,0.0,0.0,0.9166666666666666,0.0,5.5178150227978655,0.0,3.135830003884621,0.0
obs_noise,0.0,ProposedV2,5.192644734761099,0.0,0.05,0.0,0.8666666666666667,0.0,5.070144734761099,0.0,0.41827500293341774,0.0
obs_noise,0.0,Reactive,5.199084464143756,0.0,0.03333333333333333,0.0,0.8833333333333333,0.0,5.109917797477089,0.0,0.0068983412347733974,0.0
obs_noise,0.02,BeliefAwareRollout,5.0728736998672455,0.0,0.1,0.0,0.8,0.0,4.842873699867245,0.0,12.514913329505362,0.0
obs_noise,0.02,OneStepPredictive,4.784252170652446,0.0,0.05,0.0,0.8333333333333334,0.0,4.666752170652446,0.0,3.7782999977935106,0.0
obs_noise,0.02,Oracle,5.525315022797866,0.0,0.0,0.0,0.9166666666666666,0.0,5.5178150227978655,0.0,3.238286668783985,0.0
obs_noise,0.02,ProposedV2,5.258989809306967,0.0,0.05,0.0,0.85,0.0,5.131489809306967,0.0,0.45589000219479203,0.0
obs_noise,0.02,Reactive,5.258989809306967,0.0,0.05,0.0,0.85,0.0,5.131489809306967,0.0,0.006985004680852096,0.0
obs_noise,0.05,BeliefAwareRollout,4.882577806972848,0.0,0.11666666666666667,0.0,0.75,0.0,4.599244473639514,0.0,12.722190003842115,0.0
obs_noise,0.05,OneStepPredictive,4.606536303031424,0.0,0.08333333333333333,0.0,0.8,0.0,4.417369636364757,0.0,6.604436665656976,0.0
obs_noise,0.05,Oracle,5.525315022797866,0.0,0.0,0.0,0.9166666666666666,0.0,5.5178150227978655,0.0,3.143741665796066,0.0
obs_noise,0.05,ProposedV2,5.023544912946925,0.0,0.08333333333333333,0.0,0.8,0.0,4.819378246280257,0.0,0.5568399947757522,0.0
obs_noise,0.05,Reactive,5.005760062801599,0.0,0.08333333333333333,0.0,0.8,0.0,4.801593396134932,0.0,0.00744500042249759,0.0
obs_noise,0.1,BeliefAwareRollout,3.470035829427826,0.0,0.36666666666666664,0.0,0.5,0.0,2.6342024960944928,0.0,18.47103500137261,0.0
obs_noise,0.1,OneStepPredictive,4.614143166689205,0.0,0.08333333333333333,0.0,0.8,0.0,4.424976500022538,0.0,3.7876000026396164,0.0
obs_noise,0.1,Oracle,5.525315022797866,0.0,0.0,0.0,0.9166666666666666,0.0,5.5178150227978655,0.0,3.3074549971691645,0.0
obs_noise,0.1,ProposedV2,3.5731668441716367,0.0,0.31666666666666665,0.0,0.5666666666666667,0.0,2.854833510838303,0.0,1.0503766641098384,0.0
obs_noise,0.1,Reactive,3.430661761446005,0.0,0.36666666666666664,0.0,0.5666666666666667,0.0,2.6073284281126723,0.0,0.006765003005663554,0.0
reflection_strength,0.3,BeliefAwareRollout,4.757278946757059,0.0,0.16666666666666666,0.0,0.7333333333333333,0.0,4.373945613423727,0.0,11.22579166937309,0.0
reflection_strength,0.3,OneStepPredictive,1.4824971667512583,0.0,0.4166666666666667,0.0,0.5166666666666667,0.0,0.6366638334179251,0.0,3.704560007705974,0.0
reflection_strength,0.3,Oracle,5.494995657235213,0.0,0.0,0.0,0.9166666666666666,0.0,5.487495657235214,0.0,3.091663330754576,0.0
reflection_strength,0.3,ProposedV2,4.708032147028176,0.0,0.18333333333333332,0.0,0.7166666666666667,0.0,4.293865480361509,0.0,0.36180833412799984,0.0
reflection_strength,0.3,Reactive,4.803495686124105,0.0,0.13333333333333333,0.0,0.7666666666666667,0.0,4.494329019457439,0.0,0.00674333229350547,0.0
reflection_strength,0.6,BeliefAwareRollout,4.834547845346366,0.0,0.15,0.0,0.75,0.0,4.489547845346366,0.0,11.328263329536034,0.0
reflection_strength,0.6,OneStepPredictive,1.9328661818550372,0.0,0.13333333333333333,0.0,0.85,0.0,1.6561995151883706,0.0,4.327563328358035,0.0
reflection_strength,0.6,Oracle,5.510703274552537,0.0,0.0,0.0,0.9166666666666666,0.0,5.503203274552536,0.0,3.158876666566357,0.0
reflection_strength,0.6,ProposedV2,4.796056254330422,0.0,0.15,0.0,0.75,0.0,4.453556254330421,0.0,0.4191566675823803,0.0
reflection_strength,0.6,Reactive,4.900929769286022,0.0,0.11666666666666667,0.0,0.7833333333333333,0.0,4.63009643595269,0.0,0.006896665824266772,0.0
reflection_strength,1.0,BeliefAwareRollout,4.923263257950607,0.0,0.11666666666666667,0.0,0.7666666666666667,0.0,4.644929924617273,0.0,10.60133499947066,0.0
reflection_strength,1.0,OneStepPredictive,4.606536303031424,0.0,0.08333333333333333,0.0,0.8,0.0,4.417369636364757,0.0,4.389999997996104,0.0
reflection_strength,1.0,Oracle,5.525315022797866,0.0,0.0,0.0,0.9166666666666666,0.0,5.5178150227978655,0.0,3.1159900031828633,0.0
reflection_strength,1.0,ProposedV2,5.023544912946925,0.0,0.08333333333333333,0.0,0.8,0.0,4.819378246280257,0.0,0.31706167113346356,0.0
reflection_strength,1.0,Reactive,5.005760062801599,0.0,0.08333333333333333,0.0,0.8,0.0,4.801593396134932,0.0,0.006973332104583581,0.0
reflection_strength,1.5,BeliefAwareRollout,4.5627247180682495,0.0,0.11666666666666667,0.0,0.7,0.0,4.264391384734917,0.0,14.219075004803017,0.0
reflection_strength,1.5,OneStepPredictive,4.469028240831593,0.0,0.05,0.0,0.8666666666666667,0.0,4.341528240831592,0.0,3.429026662100417,0.0
reflection_strength,1.5,Oracle,5.539285644987229,0.0,0.0,0.0,0.9166666666666666,0.0,5.531785644987228,0.0,3.09271666725787,0.0
reflection_strength,1.5,ProposedV2,4.640618564967064,0.0,0.08333333333333333,0.0,0.7833333333333333,0.0,4.423951898300398,0.0,0.7718149980064481,0.0
reflection_strength,1.5,Reactive,4.670629111422298,0.0,0.1,0.0,0.7333333333333333,0.0,4.418129111422299,0.0,0.0068200034244606895,0.0
