sweep_name,sweep_value,method,seed,avg_rate,outage,beam_success,avg_return,latency_ms
obs_noise,0.0,BeliefAwareRollout,0,5.123974240428692,0.1,0.8166666666666667,4.898974240428691,13.378271663289828
obs_noise,0.0,OneStepPredictive,0,4.787833894490626,0.05,0.8333333333333334,4.670333894490625,3.965891660967221
obs_noise,0.0,Oracle,0,5.525315022797866,0.0,0.9166666666666666,5.5178150227978655,3.135830003884621
obs_noise,0.0,ProposedV2,0,5.192644734761099,0.05,0.8666666666666667,5.070144734761099,0.41827500293341774
obs_noise,0.0,Reactive,0,5.199084464143756,0.03333333333333333,0.8833333333333333,5.109917797477089,0.0068983412347733974
obs_noise,0.02,BeliefAwareRollout,0,5.0728736998672455,0.1,0.8,4.842873699867245,12.514913329505362
obs_noise,0.02,OneStepPredictive,0,4.784252170652446,0.05,0.8333333333333334,4.666752170652446,3.7782999977935106
obs_noise,0.02,Oracle,0,5.525315022797866,0.0,0.9166666666666666,5.5178150227978655,3.238286668783985
obs_noise,0.02,ProposedV2,0,5.258989809306967,0.05,0.85,5.131489809306967,0.45589000219479203
obs_noise,0.02,Reactive,0,5.258989809306967,0.05,0.85,5.131489809306967,0.006985004680852096
obs_noise,0.05,BeliefAwareRollout,0,4.882577806972848,0.11666666666666667,0.75,4.599244473639514,12.722190003842115
obs_noise,0.05,OneStepPredictive,0,4.606536303031424,0.08333333333333333,0.8,4.417369636364757,6.604436665656976
obs_noise,0.05,Oracle,0,5.525315022797866,0.0,0.9166666666666666,5.5178150227978655,3.143741665796066
obs_noise,0.05,ProposedV2,0,5.023544912946925,0.08333333333333333,0.8,4.819378246280257,0.5568399947757522
obs_noise,0.05,Reactive,0,5.005760062801599,0.08333333333333333,0.8,4.801593396134932,0.00744500042249759
obs_noise,0.1,BeliefAwareRollout,0,3.470035829427826,0.36666666666666664,0.5,2.6342024960944928,18.47103500137261
obs_noise,0.1,OneStepPredictive,0,4.614143166689205,0.08333333333333333,0.8,4.424976500022538,3.7876000026396164
obs_noise,0.1,Oracle,0,5.525315022797866,0.0,0.9166666666666666,5.5178150227978655,3.3074549971691645
obs_noise,0.1,ProposedV2,0,3.5731668441716367,0.31666666666666665,0.5666666666666667,2.854833510838303,1.0503766641098384
obs_noise,0.1,Reactive,0,3.430661761446005,0.36666666666666664,0.5666666666666667,2.6073284281126723,0.006765003005663554
