sweep_name,sweep_value,method,seed,avg_rate,outage,beam_success,avg_return,latency_ms
obs_noise,0.0,BeliefAwareRollout,0,5.198103214549274,0.0425,0.8475,5.084790714549275,0.5901333324709412
obs_noise,0.0,BeliefAwareRollout,1,5.364398884789384,0.06625,0.835,5.204898884789384,0.7345633424529296
obs_noise,0.0,BeliefAwareRollout,2,5.07958293615534,0.05375,0.86,4.948082936155339,0.6756419249904866
obs_noise,0.0,BeliefAwareRollout,3,5.090722696592273,0.07,0.8274999999999999,4.917535196592272,0.7006542625049406
obs_noise,0.0,BeliefAwareRollout,4,5.493092321784795,0.045,0.8474999999999999,5.371779821784796,0.7100703525611607
obs_noise,0.0,OneStepPredictive,0,3.8091392920118654,0.018750000000000003,0.90875,3.7641392920118655,0.25889937251577066
obs_noise,0.0,OneStepPredictive,1,4.258873643839573,0.036250000000000004,0.915,4.178873643839573,0.2588679463178778
obs_noise,0.0,OneStepPredictive,2,4.184729422638497,0.051250000000000004,0.86875,4.074541922638496,0.2590853049787256
obs_noise,0.0,OneStepPredictive,3,3.9013010216365593,0.05,0.875,3.7908010216365593,0.2632217413020044
obs_noise,0.0,OneStepPredictive,4,4.213711760042936,0.04125,0.87125,4.122024260042936,0.2599339488233454
obs_noise,0.0,Oracle,0,6.066170069489442,0.0,0.8975,6.0481700694894425,1.3598368737075361
obs_noise,0.0,Oracle,1,6.066768144500364,0.0,0.9299999999999999,6.053080644500364,1.8387978474629563
obs_noise,0.0,Oracle,2,5.863224059457604,0.0,0.9225,5.847474059457603,1.5218672525679722
obs_noise,0.0,Oracle,3,5.982751857119668,0.0,0.9225000000000001,5.965126857119669,1.6716046749024827
obs_noise,0.0,Oracle,4,6.184508671277175,0.0,0.9275,6.167633671277175,1.5262301024768021
obs_noise,0.0,ProposedV2,0,5.070466552985739,0.036250000000000004,0.8525,4.971904052985738,0.15575104500840098
obs_noise,0.0,ProposedV2,1,5.298971201574879,0.04625,0.87125,5.183596201574879,0.2456990087102895
obs_noise,0.0,ProposedV2,2,5.179918246998917,0.04625,0.8725,5.067355746998917,0.231401981172894
obs_noise,0.0,ProposedV2,3,4.902946908099586,0.058750000000000004,0.845,4.753384408099585,0.24139058495165955
obs_noise,0.0,ProposedV2,4,5.309192713432377,0.037500000000000006,0.86375,5.208692713432376,0.18636998999227217
obs_noise,0.0,Reactive,0,5.211441031965793,0.04125,0.835,5.097628531965793,0.0027447874072095146
obs_noise,0.0,Reactive,1,5.514725778679891,0.05,0.85375,5.386413278679891,0.0027655937083181925
obs_noise,0.0,Reactive,2,5.266024274789415,0.04875,0.86375,5.141899274789414,0.0027644398551274207
obs_noise,0.0,Reactive,3,5.1159464194244935,0.065,0.8325,4.948071419424493,0.002832291302183876
obs_noise,0.0,Reactive,4,5.457047131284334,0.0425,0.8525,5.340172131284335,0.0027863524792337557
obs_noise,0.02,BeliefAwareRollout,0,5.39421864663301,0.04625,0.82125,5.26665614663301,0.6071763076079151
obs_noise,0.02,BeliefAwareRollout,1,5.264924809948524,0.0825,0.79375,5.0663623099485235,0.749071983691465
obs_noise,0.02,BeliefAwareRollout,2,5.149321842582749,0.07375000000000001,0.82875,4.971259342582749,0.6878950125701522
obs_noise,0.02,BeliefAwareRollout,3,5.258008716739768,0.06875,0.82375,5.089758716739767,0.7048115100451469
obs_noise,0.02,BeliefAwareRollout,4,5.393421146205552,0.0575,0.8262499999999999,5.244483646205553,0.7239001899688446
obs_noise,0.02,OneStepPredictive,0,3.862103033336008,0.01875,0.8987499999999999,3.8163530333360085,0.26060734627662896
obs_noise,0.02,OneStepPredictive,1,4.12872412602329,0.03875,0.915,4.043911626023289,0.25937163632988813
obs_noise,0.02,OneStepPredictive,2,4.066317855005577,0.051250000000000004,0.88,3.9565053550055778,0.2590683838707264
obs_noise,0.02,OneStepPredictive,3,3.816903821911284,0.045,0.895,3.7160288219112845,0.25764236123904993
obs_noise,0.02,OneStepPredictive,4,4.160471360437094,0.0425,0.87875,4.066846360437094,0.257006378733422
obs_noise,0.02,Oracle,0,6.066170069489442,0.0,0.8975,6.0481700694894425,1.3752436474487695
obs_noise,0.02,Oracle,1,6.066768144500364,0.0,0.9299999999999999,6.053080644500364,1.845851908797158
obs_noise,0.02,Oracle,2,5.863224059457604,0.0,0.9225,5.847474059457603,1.5532197938000536
obs_noise,0.02,Oracle,3,5.982751857119668,0.0,0.9225000000000001,5.965126857119669,1.6920005912879788
obs_noise,0.02,Oracle,4,6.184508671277175,0.0,0.9275,6.167633671277175,1.542754841293572
obs_noise,0.02,ProposedV2,0,5.320029067979575,0.0375,0.82875,5.213529067979574,0.16418762496869022
obs_noise,0.02,ProposedV2,1,5.2403090125997185,0.06375,0.82875,5.083934012599719,0.26779811498727213
obs_noise,0.02,ProposedV2,2,5.197092362875704,0.05499999999999999,0.8525,5.062154862875705,0.24114410005040554
obs_noise,0.02,ProposedV2,3,5.146238825238449,0.06,0.8312499999999999,4.995863825238449,0.23911300515010225
obs_noise,0.02,ProposedV2,4,5.423544137063934,0.05,0.835,5.293169137063934,0.21015728505517473
obs_noise,0.02,Reactive,0,5.374489717959074,0.04625,0.80375,5.244302217959074,0.0027531612022357876
obs_noise,0.02,Reactive,1,5.428698545615578,0.05875,0.82,5.275761045615579,0.002779988749352924
obs_noise,0.02,Reactive,2,5.225202042510859,0.0625,0.8425,5.06832704251086,0.0027712761766451877
obs_noise,0.02,Reactive,3,5.274024489388512,0.06625,0.8275,5.10571198938851,0.0027691024934028974
obs_noise,0.02,Reactive,4,5.540076228279251,0.05,0.82875,5.403513728279252,0.0027778787352872314
obs_noise,0.05,BeliefAwareRollout,0,4.8204533750898495,0.09125,0.74625,4.579640875089847,0.7972478237797986
obs_noise,0.05,BeliefAwareRollout,1,4.804547545658727,0.11625,0.71625,4.518422545658727,0.9075443761503266
obs_noise,0.05,BeliefAwareRollout,2,4.70187817617061,0.12125,0.75125,4.40762817617061,0.7922318687542429
obs_noise,0.05,BeliefAwareRollout,3,4.840565053568011,0.12625,0.74875,4.536315053568011,0.8944128724670009
obs_noise,0.05,BeliefAwareRollout,4,4.917430392923567,0.10874999999999999,0.76125,4.646680392923566,0.9252126637329638
obs_noise,0.05,OneStepPredictive,0,3.803618793274329,0.02,0.87125,3.754431293274329,0.2590552087576725
obs_noise,0.05,OneStepPredictive,1,4.325298397048152,0.04375,0.88625,4.227860897048151,0.2585322249433375
obs_noise,0.05,OneStepPredictive,2,4.070139192266312,0.0525,0.86875,3.956514192266313,0.25751130124263
obs_noise,0.05,OneStepPredictive,3,4.098487326240443,0.05375,0.875,3.976924826240444,0.25734855876635265
obs_noise,0.05,OneStepPredictive,4,4.350964982977173,0.0475,0.85625,4.2424649829771734,0.25637718874804705
obs_noise,0.05,Oracle,0,6.066170069489442,0.0,0.8975,6.0481700694894425,1.373229218729648
