sweep_name,sweep_value,method,seed,avg_rate,outage,beam_success,avg_return,latency_ms
reflection_strength,0.3,BeliefAwareRollout,0,4.883146247812411,0.12,0.70125,4.591583747812411,0.606139573751534
reflection_strength,0.3,BeliefAwareRollout,1,4.967148434419008,0.13,0.7112499999999999,4.65858593441901,0.7747987837501569
reflection_strength,0.3,BeliefAwareRollout,2,4.96162382805926,0.13375,0.7424999999999999,4.651186328059261,0.682410571280343
reflection_strength,0.3,BeliefAwareRollout,3,4.976676172348258,0.14875,0.705,4.6339886723482575,0.7313151575408483
reflection_strength,0.3,BeliefAwareRollout,4,4.982926458126029,0.12875,0.71375,4.6783639581260275,0.7152691100145603
reflection_strength,0.3,OneStepPredictive,0,4.184102026484811,0.0625,0.75625,4.043539526484811,0.26466044757853524
reflection_strength,0.3,OneStepPredictive,1,4.6149923378690705,0.08750000000000001,0.77625,4.424242337869071,0.25908574244567717
reflection_strength,0.3,OneStepPredictive,2,4.240919802649689,0.11125,0.75,4.007919802649689,0.2602621799996996
reflection_strength,0.3,OneStepPredictive,3,4.220124572502231,0.1175,0.72875,3.9667495725022306,0.2606670499471875
reflection_strength,0.3,OneStepPredictive,4,4.036811673740562,0.1275,0.7012499999999999,3.764186673740563,0.2589286475267727
reflection_strength,0.3,Oracle,0,5.967343050128954,0.02,0.875,5.909530550128953,1.3701244562298598
reflection_strength,0.3,Oracle,1,5.946466472848854,0.041249999999999995,0.8825000000000001,5.850278972848856,1.8415675662708964
reflection_strength,0.3,Oracle,2,5.747826629730403,0.0475,0.8674999999999999,5.637076629730405,1.5499571861892036
reflection_strength,0.3,Oracle,3,5.845008798186943,0.03875,0.8775,5.750258798186944,1.6972152249081773
reflection_strength,0.3,Oracle,4,6.043430344508123,0.0225,0.8925000000000001,5.981555344508123,1.536454901261095
reflection_strength,0.3,ProposedV2,0,4.919118324484748,0.10625,0.7275,4.6618058244847465,0.2218950474207304
reflection_strength,0.3,ProposedV2,1,4.8305870411860905,0.10875,0.74875,4.576149541186092,0.3053048075207698
reflection_strength,0.3,ProposedV2,2,4.937395029023078,0.12625,0.74625,4.650770029023078,0.2941520812601084
reflection_strength,0.3,ProposedV2,3,5.037148692466533,0.12625,0.7324999999999999,4.748273692466533,0.2868147899789619
reflection_strength,0.3,ProposedV2,4,4.997248053322777,0.1025,0.74,4.750435553322776,0.2608389950319179
reflection_strength,0.3,Reactive,0,4.881697327930647,0.125,0.69375,4.579947327930647,0.0028446925489333807
reflection_strength,0.3,Reactive,1,4.998048263852759,0.12625,0.7162499999999999,4.691923263852759,0.002831552478710364
reflection_strength,0.3,Reactive,2,5.071953771886362,0.135,0.74375,4.755828771886362,0.0032221862056758255
reflection_strength,0.3,Reactive,3,5.0262040379084105,0.13625,0.7125,4.70420403790841,0.002910316234192578
reflection_strength,0.3,Reactive,4,5.055153476525404,0.14375,0.69625,4.714778476525404,0.002743387444752443
reflection_strength,0.6,BeliefAwareRollout,0,4.942407821313783,0.0875,0.73875,4.7135953213137824,0.6063540613104124
reflection_strength,0.6,BeliefAwareRollout,1,4.889874984037974,0.1225,0.7125,4.594062484037973,0.7866021350400842
reflection_strength,0.6,BeliefAwareRollout,2,4.852537510962015,0.10875,0.75625,4.5887250109620155,0.6809914199766354
reflection_strength,0.6,BeliefAwareRollout,3,4.975711838539891,0.1175,0.7475,4.694024338539892,0.726790059970881
reflection_strength,0.6,BeliefAwareRollout,4,5.06009538207591,0.10375000000000001,0.74625,4.804970382075909,0.7223133924753711
reflection_strength,0.6,OneStepPredictive,0,3.6704656406445237,0.0275,0.865,3.6051531406445236,0.2679705938362531
reflection_strength,0.6,OneStepPredictive,1,4.347360394867431,0.0575,0.8612500000000001,4.2214853948674325,0.2660942137890743
reflection_strength,0.6,OneStepPredictive,2,4.078464497081493,0.08,0.80875,3.9083394970814926,0.26113123508821445
reflection_strength,0.6,OneStepPredictive,3,3.8660646648624937,0.065,0.84,3.7231271648624933,0.26086084743383253
reflection_strength,0.6,OneStepPredictive,4,3.941786163745246,0.08,0.7875,3.768098663745246,0.2575679250230678
reflection_strength,0.6,Oracle,0,6.015178252280913,0.0,0.895,5.997365752280913,1.3620100212347097
reflection_strength,0.6,Oracle,1,6.006643394730132,0.00625,0.9175,5.980455894730131,1.8378030262010725
reflection_strength,0.6,Oracle,2,5.804605284991901,0.0125,0.9025000000000001,5.763855284991902,1.512768706247698
reflection_strength,0.6,Oracle,3,5.913029325263338,0.01375,0.9025000000000001,5.868091825263338,1.6775611174762162
reflection_strength,0.6,Oracle,4,6.113050209690504,0.0025,0.9125000000000001,6.091175209690505,1.5329681950242957
reflection_strength,0.6,ProposedV2,0,4.983441838837804,0.0625,0.77,4.812691838837804,0.20418557004177273
reflection_strength,0.6,ProposedV2,1,4.872335416772193,0.07875,0.76875,4.673772916772192,0.2998439676093767
reflection_strength,0.6,ProposedV2,2,4.9983138858684235,0.08,0.79125,4.802688885868425,0.282987333798701
reflection_strength,0.6,ProposedV2,3,5.047545876018124,0.09375,0.77375,4.8214208760181245,0.2857430712265341
reflection_strength,0.6,ProposedV2,4,4.952816715897857,0.08750000000000001,0.76375,4.7360042158978555,0.2555256461755562
reflection_strength,0.6,Reactive,0,4.948761618074724,0.09375,0.725,4.708011618074724,0.002872542495424568
reflection_strength,0.6,Reactive,1,5.000413466876999,0.10125,0.73,4.741288466876999,0.002802289877763542
reflection_strength,0.6,Reactive,2,4.9623740751781185,0.105,0.76375,4.703061575178119,0.0028105175670134486
reflection_strength,0.6,Reactive,3,5.0063935337141965,0.11875000000000001,0.7424999999999999,4.717143533714196,0.002852233733392495
reflection_strength,0.6,Reactive,4,5.111404138815557,0.11499999999999999,0.73125,4.828904138815557,0.002765107478808204
reflection_strength,1.0,BeliefAwareRollout,0,4.9524589184746475,0.0875,0.745,4.7221464184746464,0.6973359875200913
reflection_strength,1.0,BeliefAwareRollout,1,4.879248182230694,0.115,0.71625,4.596935682230694,0.8539975212852369
reflection_strength,1.0,BeliefAwareRollout,2,4.754448038199624,0.11875,0.75125,4.467073038199624,0.7233506899910935
reflection_strength,1.0,BeliefAwareRollout,3,4.885457525906497,0.10875,0.75875,4.619582525906496,0.8264564499859262
reflection_strength,1.0,BeliefAwareRollout,4,5.029418536878113,0.10875,0.75125,4.760356036878113,0.8610872449889939
reflection_strength,1.0,OneStepPredictive,0,3.8115276163257334,0.02,0.8687499999999999,3.762340116325734,0.2628199473974746
reflection_strength,1.0,OneStepPredictive,1,4.332382874230515,0.04375,0.8875,4.235320374230514,0.2607013875604025
reflection_strength,1.0,OneStepPredictive,2,4.068022797776823,0.05375,0.8674999999999999,3.951522797776824,0.25783178244637384
reflection_strength,1.0,OneStepPredictive,3,3.9302508493073502,0.04625,0.88375,3.824063349307351,0.26634655871021096
reflection_strength,1.0,OneStepPredictive,4,4.326664115327554,0.04625,0.85875,4.219914115327554,0.25958998502574104
reflection_strength,1.0,Oracle,0,6.066170069489442,0.0,0.8975,6.0481700694894425,1.3885980749728333
reflection_strength,1.0,Oracle,1,6.066768144500364,0.0,0.9299999999999999,6.053080644500364,1.8308700887882878
reflection_strength,1.0,Oracle,2,5.863224059457604,0.0,0.9225,5.847474059457603,1.5257220837202112
reflection_strength,1.0,Oracle,3,5.982751857119668,0.0,0.9225000000000001,5.965126857119669,1.6819953537697074
reflection_strength,1.0,Oracle,4,6.184508671277175,0.0,0.9275,6.167633671277175,1.5232768824625964
reflection_strength,1.0,ProposedV2,0,5.12122015262276,0.053750000000000006,0.785,4.970782652622759,0.21896275749440974
reflection_strength,1.0,ProposedV2,1,5.022945705710923,0.075,0.7875,4.833758205710923,0.32167552003102173
reflection_strength,1.0,ProposedV2,2,4.957880880252806,0.0775,0.8075000000000001,4.766318380252805,0.28957876997083076
reflection_strength,1.0,ProposedV2,3,4.989794326716204,0.08125,0.7925,4.788856826716204,0.30697826375671866
reflection_strength,1.0,ProposedV2,4,5.226530670316105,0.07125000000000001,0.7925,5.0448431703161045,0.28868545628483844
reflection_strength,1.0,Reactive,0,5.025298568510806,0.095,0.72375,4.780173568510805,0.0030149137046464602
reflection_strength,1.0,Reactive,1,5.036559284182056,0.09875,0.735,4.782434284182056,0.002780267423077021
reflection_strength,1.0,Reactive,2,4.867507866895151,0.1075,0.76625,4.598695366895151,0.00312125257551088
reflection_strength,1.0,Reactive,3,4.969415440629747,0.1175,0.74375,4.679852940629747,0.002931324966084503
reflection_strength,1.0,Reactive,4,5.152040710344344,0.11,0.73875,4.878415710344344,0.002740514946708572
reflection_strength,1.5,BeliefAwareRollout,0,4.745419503646928,0.0925,0.7475,4.497982003646928,1.0699654662175817
reflection_strength,1.5,BeliefAwareRollout,1,4.677658014865043,0.12,0.70625,4.381033014865042,1.2033265174522967
reflection_strength,1.5,BeliefAwareRollout,2,4.452903651843439,0.13624999999999998,0.74625,4.1224661518434385,1.1242841275088722
reflection_strength,1.5,BeliefAwareRollout,3,4.555091291138599,0.12625,0.7375,4.2469037911386,1.2760984700435074
reflection_strength,1.5,BeliefAwareRollout,4,4.471836517899306,0.10375,0.755,4.209399017899307,1.3385204136739048
reflection_strength,1.5,OneStepPredictive,0,4.002891318126601,0.0175,0.90625,3.959078818126601,0.26188635501057433
reflection_strength,1.5,OneStepPredictive,1,4.46086154560889,0.0475,0.90875,4.35648654560889,0.27151777125709486
reflection_strength,1.5,OneStepPredictive,2,4.33393312582221,0.04625,0.89625,4.23318312582221,0.26249739240483905
reflection_strength,1.5,OneStepPredictive,3,4.076653546832794,0.041249999999999995,0.89,3.9817785468327935,0.2669311425552223
reflection_strength,1.5,OneStepPredictive,4,4.481737093351196,0.04,0.8925000000000001,4.390487093351196,0.25830701621543994
reflection_strength,1.5,Oracle,0,6.119888754432857,0.0,0.9187500000000001,6.101701254432856,1.4002445775122396
reflection_strength,1.5,Oracle,1,6.1279755045699,0.0,0.94625,6.113350504569901,1.9723494138133901
reflection_strength,1.5,Oracle,2,5.924260866614293,0.0,0.94,5.908323366614292,1.596483088783316
reflection_strength,1.5,Oracle,3,6.051383230024954,0.0,0.9425,6.033758230024955,1.703986131246893
reflection_strength,1.5,Oracle,4,6.25577905549982,0.0,0.94375,6.2389040554998205,1.5705917862806018
reflection_strength,1.5,ProposedV2,0,5.2030067649535745,0.05,0.80625,5.063631764953575,0.3307178749810191
reflection_strength,1.5,ProposedV2,1,5.067042684324603,0.07,0.8125,4.891792684324605,0.39505659380211
reflection_strength,1.5,ProposedV2,2,4.848439061700235,0.07250000000000001,0.8275,4.671001561700235,0.37220700001398654
reflection_strength,1.5,ProposedV2,3,4.8221267538124994,0.07125000000000001,0.82375,4.644939253812501,0.41666793118110945
reflection_strength,1.5,ProposedV2,4,5.27074600710997,0.065,0.8162499999999999,5.10624600710997,0.38786684509432234
reflection_strength,1.5,Reactive,0,5.033713645990412,0.09,0.72125,4.794088645990412,0.0028623725029319758
reflection_strength,1.5,Reactive,1,5.04668309907088,0.1,0.73625,4.78743309907088,0.0028242136795597617
reflection_strength,1.5,Reactive,2,4.774646535276464,0.1125,0.75875,4.492271535276463,0.0028669337734754663
reflection_strength,1.5,Reactive,3,4.97341918393684,0.11125,0.73875,4.69279418393684,0.002904365001086262
reflection_strength,1.5,Reactive,4,5.046226995385234,0.115,0.72125,4.759226995385234,0.0027896900473933783
