variant,avg_rate_mean,avg_rate_std,outage_mean,outage_std,beam_success_mean,beam_success_std,avg_return_mean,avg_return_std,latency_ms_mean,latency_ms_std,status,skipped_reason
BeliefAwareRollout_ModelV2,3.1906820861720906,0.355823462835785,0.044750000000000005,0.017667059744054758,0.8907499999999999,0.03207997817954369,3.0939820861720904,0.3701660487944891,3.5273075292516296,0.009102306024883914,,
BeliefAwareRollout_V1,2.058909034633917,0.11177593836459104,0.5029999999999999,0.03819849473474053,0.2605,0.032216067419845035,1.0378340346339168,0.17633417063255732,3.2691016619905895,0.004476355817183476,,
OneStepPredictive,4.093769650593595,0.20892006457487006,0.042,0.0115,0.87325,0.010741275529470424,3.9986321505935956,0.19673052945015748,0.2658396987460492,0.0073794260936404,,
Oracle,6.032684560368851,0.10634252856151205,0.0,0.0,0.9200000000000002,0.011618950038622256,6.016297060368851,0.1061991392718608,1.5698248027451882,0.1594863045081162,,
ProposedV2_Adaptive,5.041973141965208,0.06599764172082295,0.07699999999999999,0.01195303308788192,0.7845,0.010682930309610735,4.848748141965208,0.08342183648030825,0.29385143950162274,0.03710336899196617,,
ProposedV2_Full,5.06367434712376,0.09812546969425452,0.07175000000000001,0.00957209485953832,0.7929999999999999,0.007810249675906691,4.88091184712376,0.10842462426484345,0.2799464162512777,0.03571177824637602,,
ProposedV2_NoLoSGuard,4.07880423197173,0.12550520036688095,0.03925000000000001,0.00735696948478108,0.8867499999999999,0.008824681297361373,3.9883417319717305,0.123205355827048,0.7041064612465107,0.0028076574159065972,,
ProposedV2_NoPredictiveFallback,5.009516005275542,0.03690900030557337,0.08299999999999999,0.010505950694725345,0.7785,0.014435200033252018,4.798141005275542,0.053596097821328154,0.20975056500628853,0.029409401304011505,,
Reactive,5.010164374112421,0.09280731062979063,0.10575000000000001,0.008046738469715537,0.7415,0.014017845768876182,4.7439143741124195,0.09600161396079748,0.002746300003991564,2.6345719203349052e-05,,
ProposedV2_NoPairwise,,,,,,,,,,,skipped,"Skipped: no separate checkpoint trained with beam_gain_pairwise_rank_loss_weight=0 is present. The current ProposedV2Policy uses the one-step predictor for fallback, so pairwise ranking affects the BeliefAwareRollout model path rather than this policy directly."
