method,seed,episode,step,action,selected_beam,oracle_action,oracle_beam,los_beam,oracle_action_match,measured_reward,true_reward,oracle_true_reward,oracle_reward_gap,true_rate,oracle_true_rate,oracle_rate_gap,true_outage,true_beam_success,rate,outage,beam_success,los_flag,reflection_ratio,num_available_paths,dominant_path_type,planning_latency_ms,latency_ms,fallback_triggered,guard_triggered,policy_confidence,policy_margin,policy_entropy,planner_value,planner_terminal_value,planner_beam_gain_value,planner_score_gap,planner_score_std,planner_candidates,planner_los_recovery_gate,planner_los_recovery_bias_max,planner_los_recovery_bias_chosen,planner_los_guard_used,planner_predictive_fallback_used,shortlist_size,shortlist_local_size,shortlist_global_fallback_count,shortlist_los_reserved,shortlist_reflection_reserved,shortlist_prev_beam_kept,shortlist_max_los_prob,shortlist_max_reflection_prob,shortlist_max_beam_gain,shortlist_beam_gain_weight,shortlist_blockage_hint,shortlist_reflection_hint,shortlist_used_global_pool,shortlist_base_pool_size
Reactive,0,0,15,16,16,16,16,16,1.0,3.6128430999149512,3.485614917619649,3.485614917619649,0.0,3.635614917619649,3.635614917619649,0.0,0.0,1.0,3.762843099914951,0.0,1.0,1.0,0.1237762864151419,4,los,0.00291700052912347,0.00291700052912347,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,16,16,16,16,16,16,1.0,3.7140645846794023,3.8244313582515246,3.8244313582515246,0.0,3.8244313582515246,3.8244313582515246,0.0,0.0,1.0,3.7140645846794023,0.0,1.0,1.0,0.12311274365172926,4,los,0.002833998223650269,0.002833998223650269,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,17,15,15,16,16,16,0.0,-0.9936664593927477,-0.9619500628820566,3.9992113578033828,4.961161420685439,1.1880499371179434,3.9992113578033828,2.8111614206854396,1.0,0.0,1.1563335406072524,1.0,0.0,1.0,0.12246944970023123,4,los,0.002958000550279394,0.002958000550279394,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,18,15,15,16,16,16,0.0,-0.9087013530301078,-0.985476913066103,4.010394387789118,4.995871300855221,1.014523086933897,4.160394387789118,3.1458713008552213,1.0,0.0,1.0912986469698922,1.0,0.0,1.0,0.12184524969018351,4,los,0.003041999661945738,0.003041999661945738,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,19,16,16,16,16,16,1.0,3.8338627817101676,4.160784901931971,4.160784901931971,0.0,4.310784901931972,4.310784901931972,0.0,0.0,1.0,3.9838627817101675,0.0,1.0,1.0,0.11262686709554043,5,los,0.002999999196617864,0.002999999196617864,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,20,16,16,16,16,16,1.0,4.319804517077142,4.4462143136657,4.4462143136657,0.0,4.4462143136657,4.4462143136657,0.0,0.0,1.0,4.319804517077142,0.0,1.0,1.0,0.11202613692199603,5,los,0.0027909991331398487,0.0027909991331398487,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,21,16,16,16,16,16,1.0,4.274409673847564,4.569856742982594,4.569856742982594,0.0,4.569856742982594,4.569856742982594,0.0,0.0,1.0,4.274409673847564,0.0,1.0,1.0,0.1114432474051368,5,los,0.0027909991331398487,0.0027909991331398487,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,22,16,16,16,16,16,1.0,4.418207256163526,4.679984651851785,4.679984651851785,0.0,4.679984651851785,4.679984651851785,0.0,0.0,1.0,4.418207256163526,0.0,1.0,1.0,0.11125577018621287,5,los,0.002791999577311799,0.002791999577311799,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,23,16,16,16,16,16,1.0,4.800190781927768,4.784360283002288,4.784360283002288,0.0,4.784360283002288,4.784360283002288,0.0,0.0,1.0,4.800190781927768,0.0,1.0,1.0,0.11160585899839742,5,los,0.0030410010367631912,0.0030410010367631912,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,24,16,16,16,16,16,1.0,4.955715836041526,4.889709359101932,4.889709359101932,0.0,4.889709359101932,4.889709359101932,0.0,0.0,1.0,4.955715836041526,0.0,1.0,1.0,0.11195509506618181,5,los,0.002833001417457126,0.002833001417457126,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
