method,average_rate_mean,average_rate_std,outage_prob_mean,outage_prob_std,beam_success_rate_mean,beam_success_rate_std,average_return_mean,average_return_std,planning_latency_ms_mean,planning_latency_ms_std
BeliefAwareRollout,4.900206240337914,0.4912822029994126,0.10775000000000001,0.03769864055904404,0.7444999999999999,0.031776563690871305,4.633218740337915,0.5533256769734346,0.7857825722508096,0.22859378263554692
OneStepPredictive,4.093769650593594,0.6266025636711043,0.042,0.026570660511172847,0.8732499999999999,0.03475899164245132,3.998632150593596,0.6254333404439331,0.26282452850819027,0.005721957995635053
Oracle,6.032684560368851,0.49287239393924676,0.0,0.0,0.9200000000000002,0.01890767040118902,6.016297060368851,0.49200168953068485,1.598161677493863,0.3010954566524356
ProposedV2,5.030975652840292,0.4673543898253112,0.07875,0.028101378969723173,0.7847500000000001,0.02315572283475513,4.829750652840291,0.5116694265282918,0.2867894407536369,0.11221271758286172
Reactive,5.010164374112421,0.4857469927120062,0.10575000000000001,0.04246395530329222,0.7415,0.028987066081271506,4.74391437411242,0.5635117435430722,0.0028245789872016758,4.561292197887843e-05
