sweep,scenario,scenario_order,scenario_value,method,average_rate_mean,average_rate_std,outage_prob_mean,outage_prob_std,beam_success_rate_mean,beam_success_rate_std,average_return_mean,average_return_std,planning_latency_ms_mean,planning_latency_ms_std
blocker_density,Nb=0,0,0.0,BeliefAwareRollout,5.132372100195502,0.46606196029956753,0.07775000000000001,0.027544282528321553,0.7632500000000001,0.03198730216820421,4.924522100195503,0.5109840770370242,0.5697144364603446,0.05024546653832886
blocker_density,Nb=0,0,0.0,OneStepPredictive,4.153667300984287,0.6771750793402503,0.01125,0.007885905147793752,0.91375,0.031179921423890714,4.122729800984287,0.6702034656751575,0.2555138747293313,0.0025147042265075054
blocker_density,Nb=0,0,0.0,Oracle,6.234974586241305,0.4506695431236916,0.0,0.0,0.9155,0.013683932183404,6.221849586241303,0.44874358401110764,0.7077186894875922,0.0032796848209517356
blocker_density,Nb=0,0,0.0,ProposedV2,5.308607709204614,0.38724171920485334,0.05525,0.016990806337546197,0.7907500000000001,0.02992803869283785,5.152920209204614,0.4137643232321897,0.14123648678105383,0.031775380805176695
blocker_density,Nb=0,0,0.0,Reactive,5.27980644094149,0.41665369467865193,0.07125000000000001,0.02663996058555643,0.7662500000000001,0.03460039739656181,5.088368940941489,0.45903700489060534,0.00269255953389802,0.00010760715007127962
blocker_density,Nb=1,1,1.0,BeliefAwareRollout,4.864650856030241,0.4499575408933859,0.10525,0.03218986641786511,0.7444999999999999,0.031579265349276284,4.601013356030242,0.5006670591953729,0.7837840222828163,0.17644665817734756
blocker_density,Nb=1,1,1.0,OneStepPredictive,4.08132977163432,0.5943283157140548,0.03225,0.021416990918427362,0.89025,0.03641685736029403,4.00749227163432,0.6044005101641379,0.25853573249969486,0.002140472180270731
blocker_density,Nb=1,1,1.0,Oracle,6.0948589865148115,0.44335450696906725,0.00025,0.0010897247358851686,0.9184999999999999,0.016363068171953578,6.0788339865148115,0.443190736238998,1.3488924937419142,0.0068425535284144185
blocker_density,Nb=1,1,1.0,ProposedV2,5.014328097936845,0.4355844792786053,0.07425000000000001,0.022431841208425136,0.7865,0.020862646045025076,4.8249905979368455,0.46735592125180886,0.27280572724612284,0.08282820395907442
blocker_density,Nb=1,1,1.0,Reactive,5.03237018874456,0.37917320418089845,0.10075,0.035116769498346516,0.74525,0.03108355674629274,4.7769076887445605,0.43203071201345145,0.0027565937698454945,7.884845579446105e-05
blocker_density,Nb=2,2,2.0,BeliefAwareRollout,4.753467694420447,0.4053968190021723,0.121,0.034044089061098404,0.7385,0.03126899422750915,4.4620426944204485,0.45641891859525047,0.9752079525242152,0.17345633987771472
blocker_density,Nb=2,2,2.0,OneStepPredictive,4.010861322974557,0.4653673748811129,0.05250000000000001,0.022830900113661748,0.8634999999999998,0.05072228307164417,3.8947988229745554,0.4768292145373514,0.2725156192764189,0.014284405191930312
blocker_density,Nb=2,2,2.0,Oracle,5.9445329512486635,0.38284824377420623,0.001,0.002549509756796392,0.9205,0.017528548142958095,5.924570451248664,0.38314042310287166,1.9852957905050062,0.0134904258538043
blocker_density,Nb=2,2,2.0,ProposedV2,4.889047314388842,0.37758854576933776,0.08375000000000002,0.025292044203662142,0.7880000000000001,0.026804850307360423,4.687197314388842,0.41018688678724907,0.38181642046401976,0.08557348987765512
blocker_density,Nb=2,2,2.0,Reactive,4.900734393114016,0.3963358259148691,0.12,0.038046024759493605,0.7352500000000001,0.03378146681244024,4.606509393114015,0.46043359710058734,0.002855960508895805,6.43469401342524e-05
blocker_density,Nb=3,3,3.0,BeliefAwareRollout,4.474910792991436,0.34750130922427996,0.14525,0.03132391259086259,0.7312500000000001,0.038336503492102665,4.135848292991436,0.3816884170855818,1.1663138319800055,0.2819754254117204
blocker_density,Nb=3,3,3.0,OneStepPredictive,3.8292414128491656,0.525202176144006,0.08075000000000002,0.035995659460551624,0.8379999999999999,0.0603821165578021,3.6552164128491653,0.5594042525389706,0.27385042648347735,0.015623107152076005
blocker_density,Nb=3,3,3.0,Oracle,5.738301707021316,0.38315066037260437,0.00125,0.0034910600109422352,0.9257499999999999,0.018115946014492294,5.715701707021317,0.3835739174341863,2.5846815782233534,0.018445161165617865
blocker_density,Nb=3,3,3.0,ProposedV2,4.49150765306199,0.4153127212604644,0.10124999999999999,0.02479289212657531,0.7817500000000001,0.029634228520412004,4.257620153061989,0.4432991916492756,0.4616260537377457,0.0667138650425109
blocker_density,Nb=3,3,3.0,Reactive,4.714461906027811,0.4023485368669636,0.14550000000000002,0.052151222420955774,0.725,0.055856960175075764,4.367061906027811,0.47860470020463236,0.002923837247180927,8.778276782354568e-05
blocker_speed,0.5x,0,0.5,BeliefAwareRollout,4.791343708214256,0.5112684976915376,0.10475000000000001,0.039858342915881494,0.7522499999999999,0.0377317836843158,4.531856208214256,0.5742481581454127,0.9136372047723853,0.3062657543798996
blocker_speed,0.5x,0,0.5,OneStepPredictive,3.8190129240372963,0.7438739383591588,0.035750000000000004,0.022320114247019438,0.8877500000000002,0.04846325927958208,3.7381379240372956,0.759071491766757,0.26520034865825437,0.008483657332368728
blocker_speed,0.5x,0,0.5,Oracle,5.965537124490674,0.528686560174936,0.0005,0.0015000000000000002,0.9217500000000001,0.016902292743885352,5.949349624490674,0.5283873420856854,1.5880168864805455,0.30754137433002343
blocker_speed,0.5x,0,0.5,ProposedV2,4.921179282905243,0.5594594064322747,0.0675,0.02556853535109119,0.799,0.03112876483254675,4.748379282905242,0.5982770467124594,0.31523299125365156,0.10880507514416594
blocker_speed,0.5x,0,0.5,Reactive,4.965663225535824,0.4779453746725036,0.10900000000000001,0.042296571965113196,0.7427499999999999,0.04118479695227355,4.694600725535823,0.5484853698129667,0.002783709495815856,0.00013409320253575258
blocker_speed,1x,1,1.0,BeliefAwareRollout,4.900206240337914,0.4912822029994126,0.10775000000000001,0.03769864055904404,0.7444999999999999,0.031776563690871305,4.633218740337915,0.5533256769734346,0.8076207990034163,0.23315612369813388
blocker_speed,1x,1,1.0,OneStepPredictive,4.093769650593594,0.6266025636711043,0.042,0.026570660511172847,0.8732499999999999,0.03475899164245132,3.998632150593596,0.6254333404439331,0.2637158299867224,0.004726298753351548
blocker_speed,1x,1,1.0,Oracle,6.032684560368851,0.49287239393924676,0.0,0.0,0.9200000000000002,0.01890767040118902,6.016297060368851,0.49200168953068485,1.5827824324705944,0.30063764831168494
blocker_speed,1x,1,1.0,ProposedV2,5.06367434712376,0.456734135767503,0.07175,0.026752336346569806,0.793,0.02105943968865269,4.88091184712376,0.4967577765816953,0.2839916847342465,0.1120730949977364
blocker_speed,1x,1,1.0,Reactive,5.010164374112421,0.4857469927120062,0.10575000000000001,0.04246395530329222,0.7415,0.028987066081271506,4.74391437411242,0.5635117435430722,0.002848710268153809,9.528273154083812e-05
blocker_speed,1.5x,2,1.5,BeliefAwareRollout,4.894855304403341,0.5393953929294799,0.10674999999999998,0.03931523241696531,0.75025,0.0387128854517459,4.629380304403342,0.6120969450762013,0.7925800707253075,0.16589929663703684
blocker_speed,1.5x,2,1.5,OneStepPredictive,4.152436230204819,0.5655568213141021,0.036750000000000005,0.020753011829611624,0.8867499999999999,0.03557650207651113,4.067836230204819,0.5735908001151866,0.2638784382843369,0.006329980506874961
blocker_speed,1.5x,2,1.5,Oracle,6.080241984711096,0.4888840057826328,0.0005,0.0015,0.9165000000000001,0.01628649747490232,6.061954484711094,0.488714303298444,1.576116198026284,0.2926805372602925
blocker_speed,1.5x,2,1.5,ProposedV2,5.027194722033979,0.4546661865729297,0.07400000000000001,0.026105554964413222,0.797,0.027721832551258208,4.8406447220339786,0.49556755857402107,0.2877826872490914,0.08999954725588684
blocker_speed,1.5x,2,1.5,Reactive,5.071359494203473,0.5083601103266867,0.09924999999999999,0.033176610737084035,0.7525000000000001,0.030310889132455367,4.820846994203474,0.5672974668468771,0.0028072457180314814,5.13795506201872e-05
blocker_speed,2x,3,2.0,BeliefAwareRollout,4.853620822486174,0.43655771461856147,0.10325,0.03325187964611925,0.7484999999999999,0.03701688803775921,4.5949208224861735,0.4896359577150449,0.8065920479821216,0.15031211045629891
blocker_speed,2x,3,2.0,OneStepPredictive,4.191967042669114,0.4217865950059145,0.04800000000000001,0.024718414188616547,0.87775,0.029684802509028094,4.085017042669113,0.42805761500072975,0.26196293827069894,0.0034852779847420632
