method,oracle_action_match_mean,oracle_action_match_std,oracle_reward_gap_mean,oracle_reward_gap_std,oracle_rate_gap_mean,oracle_rate_gap_std,true_outage_mean,true_outage_std,true_beam_success_mean,true_beam_success_std,los_flag_mean,los_flag_std,reflection_ratio_mean,reflection_ratio_std,num_available_paths_mean,num_available_paths_std,planning_latency_ms_mean,planning_latency_ms_std,policy_confidence_mean,policy_confidence_std,policy_margin_mean,policy_margin_std,policy_entropy_mean,policy_entropy_std,planner_value_mean,planner_value_std,planner_terminal_value_mean,planner_terminal_value_std,planner_beam_gain_value_mean,planner_beam_gain_value_std,planner_score_gap_mean,planner_score_gap_std,planner_score_std_mean,planner_score_std_std,planner_candidates_mean,planner_candidates_std,planner_los_recovery_gate_mean,planner_los_recovery_gate_std,planner_los_recovery_bias_max_mean,planner_los_recovery_bias_max_std,planner_los_recovery_bias_chosen_mean,planner_los_recovery_bias_chosen_std,planner_los_guard_used_mean,planner_los_guard_used_std,planner_predictive_fallback_used_mean,planner_predictive_fallback_used_std,shortlist_size_mean,shortlist_size_std,shortlist_local_size_mean,shortlist_local_size_std,shortlist_global_fallback_count_mean,shortlist_global_fallback_count_std,shortlist_los_reserved_mean,shortlist_los_reserved_std,shortlist_reflection_reserved_mean,shortlist_reflection_reserved_std,shortlist_prev_beam_kept_mean,shortlist_prev_beam_kept_std,shortlist_max_los_prob_mean,shortlist_max_los_prob_std,shortlist_max_reflection_prob_mean,shortlist_max_reflection_prob_std,shortlist_max_beam_gain_mean,shortlist_max_beam_gain_std,shortlist_beam_gain_weight_mean,shortlist_beam_gain_weight_std,shortlist_blockage_hint_mean,shortlist_blockage_hint_std,shortlist_reflection_hint_mean,shortlist_reflection_hint_std,shortlist_used_global_pool_mean,shortlist_used_global_pool_std,shortlist_base_pool_size_mean,shortlist_base_pool_size_std,dominant_reflection_fraction,dominant_los_fraction
BeliefAwareRollout,0.8125,0.3903123748998999,0.8258139473956234,1.9673778700730407,0.6414389473956235,1.5257779967253264,0.0875,0.2825663638864329,0.7375,0.439992897669951,0.9875,0.11110243021644485,0.10976843543725763,0.03906917819393949,4.775,0.4993746088859545,0.6060489124820378,0.6577226369539942,0.9625,0.18998355191963334,0.03420105323195458,0.21290795955915487,,,6.338431346416473,0.6847871766239889,0.0,0.0,6.351457456747691,0.6813322762262256,0.03420105323195458,0.21290795955915487,0.04427583578853622,0.22473164386047575,8.0,0.0,0.810648125766205,0.3086866925755734,1.5948683688949394,0.6072740582613447,1.5948683688949394,0.6072740582613447,0.9625,0.18998355191963334,,,7.925,0.3799671038392667,7.925,0.3799671038392667,0.075,0.3799671038392667,1.9875,0.11110243021644485,0.0,0.0,1.0,0.0,0.9991138286888599,0.0008347134406655727,0.9237230829894543,0.018409418741087022,4.152445501089096,0.6593343695516515,1.0,0.0,0.10056407864176435,0.16481781103667162,0.10353893436258658,0.04934084996553361,0.0375,0.18998355191963334,16.0,0.0,0.0125,0.9875
OneStepPredictive,0.7125,0.4525966747557918,1.091974145360713,2.1607781156343933,1.066349145360713,2.1385829532664444,0.025,0.15612494995995993,0.7625,0.42555111326373,0.9875,0.11110243021644485,0.10976843543725763,0.03906917819393949,4.775,0.4993746088859545,0.27892135001366114,0.07878736806750937,0.8271648470312357,0.2234689547540797,0.7350141897797584,0.34002299568255584,0.4893921713810414,0.535732161948379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,0.925
Oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.30000000000000004,0.9875,0.11110243021644485,0.10976843543725763,0.03906917819393949,4.775,0.4993746088859545,1.3551130625501173,0.02319455206640425,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0125,0.9875
ProposedV2,0.875,0.33071891388307384,0.5485158987688308,1.650368933771705,0.46976589876883085,1.389394613859652,0.0375,0.18998355191963334,0.8,0.4000000000000001,0.9875,0.11110243021644485,0.10976843543725763,0.03906917819393949,4.775,0.4993746088859545,0.196261924997998,0.3009323409783114,0.9346316758543253,0.17110905468575666,0.18862227462232112,0.36151735983131095,0.16953938798978924,0.4070111945513701,5.277068884476371,0.4910880952269753,6.5426956259686015,0.243155627327692,0.0,0.0,0.14017044362646533,0.27229411021441563,,,12.0125,0.11110243021644485,,,,,,,0.7125,0.45259667475579174,0.2875,0.45259667475579174,12.043478260869565,0.20393111999232302,12.0,0.0,1.0434782608695652,2.2742081444560034,,,,,,,,,,,,,,,,,,,0.05,0.21794494717703364,,,0.025,0.975
Reactive,0.825,0.37996710383926663,0.7156577265922629,1.8107603217605495,0.5869077265922629,1.4614479878632018,0.0625,0.24206145913796356,0.7625,0.42555111326373,0.9875,0.11110243021644485,0.10976843543725763,0.03906917819393949,4.775,0.4993746088859545,0.0030087750019447412,0.0006936789626597967,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.975
