method,seed,episode,average_rate,outage_prob,beam_success_rate,average_return,planning_latency_ms
ProposedV2,2,0,5.584585246718549,0.045,0.81,5.460085246718547,0.2661622850519052
ProposedV2,2,1,4.885900281130721,0.085,0.8,4.668650281130722,0.2585252150311135
ProposedV2,2,2,4.966542710701891,0.09,0.815,4.74454271070189,0.3415850200690329
ProposedV2,2,3,4.419015096177847,0.085,0.81,4.212265096177847,0.2918760699867562
ProposedV2,3,0,5.065977239203656,0.065,0.825,4.902227239203655,0.41500000502310286
ProposedV2,3,1,4.524667207763782,0.105,0.795,4.276417207763784,0.38854773991261027
ProposedV2,3,2,5.490025472123604,0.09,0.76,5.260525472123602,0.17626246505642484
ProposedV2,3,3,5.0703695984961845,0.085,0.755,4.848619598496184,0.2013729049849644
ProposedV2,4,0,5.430134237773674,0.045,0.76,5.2928842377736744,0.14882542500345153
ProposedV2,4,1,5.7031474530478405,0.05,0.805,5.565647453047843,0.17320978494353767
ProposedV2,4,2,4.583481421115358,0.12,0.795,4.306731421115357,0.5341801699978532
ProposedV2,4,3,4.9017277945914755,0.11,0.785,4.632227794591475,0.3261645349630271
Oracle,0,0,6.164032150569686,0.0,0.9,6.155032150569687,1.3783706199592416
Oracle,0,1,5.015208887724748,0.0,0.895,4.999458887724748,1.379984989980585
Oracle,0,2,7.219811561796445,0.0,0.905,7.1913115617964465,1.3692292099767656
Oracle,0,3,5.86562767786689,0.0,0.89,5.846877677866889,1.3765225300994643
Oracle,1,0,5.760827268325832,0.0,0.925,5.743577268325831,2.015509990096689
Oracle,1,1,6.211113127520519,0.0,0.915,6.196113127520517,1.3836620850088366
Oracle,1,2,5.854491054629388,0.0,0.94,5.846241054629385,2.0105406449692964
Oracle,1,3,6.44064112752572,0.0,0.94,6.42639112752572,1.9932478948976495
Oracle,2,0,6.505613479595025,0.0,0.935,6.493613479595025,1.3733643450450472
Oracle,2,1,5.804625436120157,0.0,0.895,5.789625436120157,1.3757450300272467
Oracle,2,2,6.004692587069983,0.0,0.94,5.984442587069985,2.0081320149620296
Oracle,2,3,5.137964735045249,0.0,0.92,5.122214735045248,1.3868631149671273
Oracle,3,0,6.052874139095391,0.0,0.93,6.033374139095392,2.0077039749867254
Oracle,3,1,5.39760314821444,0.0,0.93,5.381103148214441,2.0144881549822458
Oracle,3,2,6.41254989377495,0.0,0.895,6.396049893774952,1.3660495550811902
Oracle,3,3,6.067980247393892,0.0,0.935,6.049980247393893,1.370900630054166
Oracle,4,0,6.355021242107235,0.0,0.91,6.342271242107234,1.3784010750168818
Oracle,4,1,6.529482815471714,0.0,0.905,6.513732815471715,1.3759907949406625
Oracle,4,2,5.74587125897263,0.0,0.945,5.7218712589726275,2.0090918849382433
Oracle,4,3,6.107659368557123,0.0,0.95,6.092659368557123,1.3894350098871655
BeliefAwareRollout,0,0,5.215841709303497,0.07,0.785,5.0263417093034946,0.600510634985767
BeliefAwareRollout,0,1,3.9791130034466704,0.155,0.725,3.6196130034466707,0.8816639449923969
BeliefAwareRollout,0,2,5.982913349936415,0.025,0.75,5.878913349936413,0.5400487749921012
BeliefAwareRollout,0,3,4.6319676112120085,0.1,0.72,4.363717611212007,0.7727343550232035
BeliefAwareRollout,1,0,4.428757522321187,0.17,0.705,4.0400075223211855,1.143498300025385
