method,seed,episode_id,event_id,pre_blockage_avg_rate,post_blockage_avg_rate,recovery_time,preemptive_switch_rate,fallback_trigger_rate_around_onset
BeliefAwareRollout,0,1,0,6.05842325702785,2.4614371767128005,1.0,0.0,0.0
BeliefAwareRollout,1,0,0,3.6990455173773134,0.2545802172827773,8.0,1.0,0.0
Oracle,0,1,0,6.05842325702785,2.8424527496759695,,0.0,0.0
Oracle,1,0,0,4.217836018021952,2.5538636932580063,,0.0,0.0
ProposedV2,0,1,0,5.861313227663596,2.4614371767128005,1.0,1.0,0.5454545454545454
ProposedV2,1,0,0,3.6990455173773134,0.2545802172827773,8.0,1.0,0.75
Reactive,0,1,0,5.861313227663596,1.925746315285936,1.0,1.0,0.0
Reactive,1,0,0,3.6990455173773134,1.3862366596529185,1.0,1.0,0.0
