method,seed,episode_id,event_id,pre_blockage_avg_rate,post_blockage_avg_rate,recovery_time,preemptive_switch_rate,fallback_trigger_rate_around_onset
ProposedV2,2,1,1,5.282520147231702,2.53360013790125,3.0,1.0,0.9090909090909091
ProposedV2,2,1,2,5.709051297685332,1.636153664245038,1.0,0.0,0.9090909090909091
ProposedV2,2,2,0,4.613876768390798,1.9212713097604421,1.0,0.0,1.0
ProposedV2,2,2,1,5.811725284106957,1.3983689764744547,3.0,0.0,0.9090909090909091
ProposedV2,2,2,2,4.086865274333232,1.3352317414360215,3.0,1.0,1.0
ProposedV2,2,3,0,6.522623654520065,1.952649605885217,3.0,0.0,0.9
ProposedV2,2,3,1,5.825654703200207,0.8698425500081847,3.0,0.0,0.9090909090909091
ProposedV2,2,3,2,4.452467192998061,2.6886781767875263,2.0,1.0,0.7272727272727273
ProposedV2,3,0,0,4.684660902915498,3.4290104790870815,,1.0,1.0
ProposedV2,3,0,1,6.575030765207027,1.33140736485969,1.0,0.0,0.7272727272727273
ProposedV2,3,1,0,6.180718326916008,1.0171457285625463,2.0,0.0,0.9090909090909091
ProposedV2,3,1,1,6.193911446761634,2.8441582005671275,2.0,0.0,0.8181818181818182
ProposedV2,3,1,2,1.6753140480691584,3.877750192709012,,1.0,1.0
ProposedV2,3,2,0,7.329946167873179,2.6109547433796285,2.0,0.0,0.8571428571428571
ProposedV2,3,2,1,6.215076272485563,1.577584084447763,1.0,0.0,0.8181818181818182
ProposedV2,3,3,0,3.929623820231602,1.7947266255298677,1.0,0.0,1.0
ProposedV2,4,0,0,2.3196309701835873,2.729318536845336,4.0,1.0,1.0
ProposedV2,4,2,0,7.612467867534581,1.7504044646006258,1.0,1.0,0.9090909090909091
ProposedV2,4,2,1,7.136274286093714,5.880737390054169,2.0,1.0,0.9090909090909091
ProposedV2,4,2,2,6.300947603908466,5.343008820946756,,1.0,0.9090909090909091
ProposedV2,4,2,3,5.375395528175703,3.193577336805138,1.0,1.0,1.0
ProposedV2,4,2,4,6.20340635089954,1.498611158653219,2.0,0.0,0.8181818181818182
ProposedV2,4,3,0,3.4651915452370146,4.06726807786067,2.0,1.0,0.9090909090909091
Reactive,0,1,0,5.861313227663596,1.925746315285936,1.0,1.0,0.0
Reactive,0,1,1,5.5058300899631964,2.114887199380771,2.0,1.0,0.0
Reactive,0,2,0,7.54888654484893,3.7269361585632623,2.0,0.0,0.0
Reactive,0,3,0,3.8579321573842393,1.77702653576958,3.0,1.0,0.0
Reactive,0,3,1,5.381744198200853,1.450296595925532,2.0,1.0,0.0
Reactive,1,0,0,3.6990455173773134,1.3862366596529185,1.0,1.0,0.0
Reactive,1,0,1,4.707832482144922,2.1175219401432055,1.0,1.0,0.0
Reactive,1,0,2,5.650840950745058,1.5389993162682822,1.0,1.0,0.0
Reactive,1,2,0,3.517151223418568,2.37987485510917,1.0,1.0,0.0
Reactive,1,2,1,6.320984107624058,4.060658952165861,,0.0,0.0
Reactive,1,2,2,2.7750992919099646,1.304926668076873,1.0,1.0,0.0
Reactive,1,3,0,7.625149510373346,2.536283760524173,,0.0,0.0
Reactive,1,3,1,2.778393650185415,0.9657408117818443,3.0,1.0,0.0
Reactive,1,3,2,5.815838456366302,2.6174330438107063,1.0,0.0,0.0
Reactive,2,0,0,8.01071157167429,1.965968207946404,2.0,0.0,0.0
Reactive,2,0,1,4.993368161435269,2.205039606386243,1.0,1.0,0.0
Reactive,2,1,0,5.406764985483146,1.2801911397405223,2.0,1.0,0.0
Reactive,2,1,1,4.150725185515131,1.8691232865275456,2.0,1.0,0.0
Reactive,2,1,2,5.709051297685332,1.3653496257193674,2.0,0.0,0.0
Reactive,2,2,0,4.613876768390798,1.5884385650943809,2.0,0.0,0.0
Reactive,2,2,1,4.698659540819675,1.4999393924248914,3.0,1.0,0.0
Reactive,2,2,2,4.086865274333232,1.5043968177759866,3.0,1.0,0.0
Reactive,2,3,0,5.092650482000588,1.5526056922287095,4.0,1.0,0.0
Reactive,2,3,1,4.7092545332317375,0.8447886714263774,4.0,1.0,0.0
Reactive,2,3,2,4.452467192998061,1.1442898902955305,1.0,1.0,0.0
Reactive,3,0,0,4.265751084993543,2.6361005159548476,1.0,1.0,0.0
Reactive,3,0,1,6.575030765207027,1.585959527275491,1.0,0.0,0.0
Reactive,3,1,0,6.180718326916008,0.8239832321609494,4.0,0.0,0.0
Reactive,3,1,1,6.193911446761634,3.163628045255584,1.0,0.0,0.0
Reactive,3,1,2,6.712770170774798,1.634578949588411,4.0,0.0,0.0
Reactive,3,2,0,7.329946167873179,3.776610075477064,1.0,0.0,0.0
Reactive,3,2,1,6.215076272485563,1.9340105095129256,2.0,0.0,0.0
Reactive,3,3,0,3.568171456813637,2.133123821384825,2.0,1.0,0.0
Reactive,4,0,0,2.3196309701835873,2.4595144339780535,1.0,1.0,0.0
Reactive,4,2,0,7.612467867534581,0.8434033532735327,3.0,1.0,0.0
Reactive,4,2,1,8.046517712826894,3.3642691682737156,1.0,1.0,0.0
Reactive,4,2,2,6.300947603908466,3.54035578610806,,1.0,0.0
Reactive,4,2,3,4.272408507264832,0.9969255837445044,5.0,1.0,0.0
Reactive,4,2,4,6.20340635089954,0.9632904306032293,3.0,0.0,0.0
Reactive,4,3,0,2.358657936217533,2.687653994649878,1.0,1.0,0.0
