los_confidence_threshold,risk_threshold,path_spread_threshold,avg_rate,avg_rate_std,outage,outage_std,beam_success,beam_success_std,avg_return,avg_return_std,latency_ms,latency_ms_std,fallback_rate,reactive_guard_rate,rank
0.5,0.25,0.6,4.806059436901825,0.0,0.08333333333333333,0.0,0.8166666666666667,0.0,4.6068927702351585,0.0,1.0295333301958938,0.0,0.25,0.75,1
0.8,0.55,0.4,4.806059436901825,0.0,0.08333333333333333,0.0,0.8166666666666667,0.0,4.6068927702351585,0.0,1.0667533342105646,0.0,0.26666666666666666,0.7333333333333333,2
0.9,0.35,0.4,4.806059436901825,0.0,0.08333333333333333,0.0,0.8166666666666667,0.0,4.6068927702351585,0.0,1.1230999962814774,0.0,0.3,0.7,3
0.9,0.55,0.8,4.806059436901825,0.0,0.08333333333333333,0.0,0.8166666666666667,0.0,4.6068927702351585,0.0,1.1463033345838387,0.0,0.3,0.7,4
0.5,0.25,0.2,4.806059436901825,0.0,0.08333333333333333,0.0,0.8166666666666667,0.0,4.6068927702351585,0.0,1.1720666700663667,0.0,0.25,0.75,5
0.8,0.55,0.6,4.806059436901825,0.0,0.08333333333333333,0.0,0.8166666666666667,0.0,4.6068927702351585,0.0,1.1789733311161399,0.0,0.26666666666666666,0.7333333333333333,6
0.6,0.25,0.4,4.806059436901825,0.0,0.08333333333333333,0.0,0.8166666666666667,0.0,4.6068927702351585,0.0,1.1797450026885297,0.0,0.25,0.75,7
0.6,0.25,0.8,4.806059436901825,0.0,0.08333333333333333,0.0,0.8166666666666667,0.0,4.6068927702351585,0.0,1.2028000026475638,0.0,0.25,0.75,8
0.5,0.25,0.8,4.806059436901825,0.0,0.08333333333333333,0.0,0.8166666666666667,0.0,4.6068927702351585,0.0,1.203360001090914,0.0,0.25,0.75,9
0.8,0.45,0.8,4.806059436901825,0.0,0.08333333333333333,0.0,0.8166666666666667,0.0,4.6068927702351585,0.0,1.2069883348885924,0.0,0.26666666666666666,0.7333333333333333,10
0.9,0.35,0.2,4.806059436901825,0.0,0.08333333333333333,0.0,0.8166666666666667,0.0,4.6068927702351585,0.0,1.2125966682409246,0.0,0.3,0.7,11
0.9,0.45,0.4,4.806059436901825,0.0,0.08333333333333333,0.0,0.8166666666666667,0.0,4.6068927702351585,0.0,1.2407016639675323,0.0,0.3,0.7,12
0.5,0.25,0.4,4.806059436901825,0.0,0.08333333333333333,0.0,0.8166666666666667,0.0,4.6068927702351585,0.0,1.2418183342864115,0.0,0.25,0.75,13
0.6,0.15,0.8,4.806059436901825,0.0,0.08333333333333333,0.0,0.8166666666666667,0.0,4.6068927702351585,0.0,1.2461850021888192,0.0,0.2833333333333333,0.7166666666666667,14
0.9,0.35,0.6,4.806059436901825,0.0,0.08333333333333333,0.0,0.8166666666666667,0.0,4.6068927702351585,0.0,1.262856661924161,0.0,0.3,0.7,15
0.9,0.45,0.2,4.806059436901825,0.0,0.08333333333333333,0.0,0.8166666666666667,0.0,4.6068927702351585,0.0,1.2714116640078525,0.0,0.3,0.7,16
