los_confidence_threshold,risk_threshold,path_spread_threshold,seed,avg_rate,outage,beam_success,avg_return,latency_ms,fallback_rate,reactive_guard_rate
0.5,0.15,0.2,0,5.419566145514432,0.0375,0.8,5.3126911455144326,0.10541155000964864,0.3,0.7
0.5,0.15,0.4,0,5.419566145514432,0.0375,0.8,5.3126911455144326,0.09589842500474788,0.3,0.7
0.5,0.15,0.6,0,5.419566145514432,0.0375,0.8,5.3126911455144326,0.09570783750234568,0.3,0.7
0.5,0.15,0.8,0,5.419566145514432,0.0375,0.8,5.3126911455144326,0.09320831251216077,0.3,0.7
0.5,0.25,0.2,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.08942664999551653,0.2875,0.7125
0.5,0.25,0.4,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.09872183750587737,0.2875,0.7125
0.5,0.25,0.6,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.09290257499685595,0.2875,0.7125
0.5,0.25,0.8,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.08950936249902952,0.2875,0.7125
0.5,0.35,0.2,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.08243127498985814,0.2625,0.7375
0.5,0.35,0.4,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.08363069999006711,0.2625,0.7375
0.5,0.35,0.6,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.08371097498240943,0.2625,0.7375
0.5,0.35,0.8,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.08299374999012343,0.2625,0.7375
0.5,0.45,0.2,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.0691150624987813,0.2125,0.7875
0.5,0.45,0.4,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.06882861248698191,0.2125,0.7875
0.5,0.45,0.6,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.06875886250270469,0.2125,0.7875
0.5,0.45,0.8,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.06818012499536508,0.2125,0.7875
0.5,0.55,0.2,0,5.378714723427272,0.05,0.7875,5.243089723427273,0.06420161249707235,0.2,0.8
0.5,0.55,0.4,0,5.378714723427272,0.05,0.7875,5.243089723427273,0.06719112500377378,0.2,0.8
0.5,0.55,0.6,0,5.378714723427272,0.05,0.7875,5.243089723427273,0.06459114999302074,0.2,0.8
0.5,0.55,0.8,0,5.378714723427272,0.05,0.7875,5.243089723427273,0.06394576250272621,0.2,0.8
0.6,0.15,0.2,0,5.419566145514432,0.0375,0.8,5.3126911455144326,0.09456720000571295,0.3,0.7
0.6,0.15,0.4,0,5.419566145514432,0.0375,0.8,5.3126911455144326,0.09304639999356823,0.3,0.7
0.6,0.15,0.6,0,5.419566145514432,0.0375,0.8,5.3126911455144326,0.09350153749778656,0.3,0.7
0.6,0.15,0.8,0,5.419566145514432,0.0375,0.8,5.3126911455144326,0.09330777499485521,0.3,0.7
0.6,0.25,0.2,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.08952028750286445,0.2875,0.7125
0.6,0.25,0.4,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.08990423748969079,0.2875,0.7125
0.6,0.25,0.6,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.08970933749594678,0.2875,0.7125
0.6,0.25,0.8,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.0901526124891916,0.2875,0.7125
0.6,0.35,0.2,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.08164940000483512,0.2625,0.7375
0.6,0.35,0.4,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.08355366250043517,0.2625,0.7375
0.6,0.35,0.6,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.08242551248542895,0.2625,0.7375
0.6,0.35,0.8,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.08251347498458017,0.2625,0.7375
0.6,0.45,0.2,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.07550782499947672,0.2375,0.7625
0.6,0.45,0.4,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.07479066249800326,0.2375,0.7625
0.6,0.45,0.6,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.07489217499880851,0.2375,0.7625
0.6,0.45,0.8,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.07467349999501494,0.2375,0.7625
0.6,0.55,0.2,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.07642971250163555,0.2375,0.7625
0.6,0.55,0.4,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.07579367501477918,0.2375,0.7625
0.6,0.55,0.6,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.07502910001164764,0.2375,0.7625
0.6,0.55,0.8,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.07561198749215237,0.2375,0.7625
0.7,0.15,0.2,0,5.419566145514432,0.0375,0.8,5.3126911455144326,0.09304946250949797,0.3,0.7
0.7,0.15,0.4,0,5.419566145514432,0.0375,0.8,5.3126911455144326,0.09957031250280579,0.3,0.7
0.7,0.15,0.6,0,5.419566145514432,0.0375,0.8,5.3126911455144326,0.0926999874906187,0.3,0.7
0.7,0.15,0.8,0,5.419566145514432,0.0375,0.8,5.3126911455144326,0.093872862512967,0.3,0.7
0.7,0.25,0.2,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.09022557501339179,0.2875,0.7125
0.7,0.25,0.4,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.08948904999215301,0.2875,0.7125
0.7,0.25,0.6,0,5.425727848713524,0.0375,0.8,5.318852848713524,0.08964432497862163,0.2875,0.7125
