los_confidence_threshold,risk_threshold,path_spread_threshold,avg_rate,avg_rate_std,outage,outage_std,beam_success,beam_success_std,avg_return,avg_return_std,latency_ms,latency_ms_std,fallback_rate,reactive_guard_rate,rank
0.5,0.45,0.8,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.06818012499536508,0.0,0.2125,0.7875,1
0.5,0.45,0.6,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.06875886250270469,0.0,0.2125,0.7875,2
0.5,0.45,0.4,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.06882861248698191,0.0,0.2125,0.7875,3
0.5,0.45,0.2,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.0691150624987813,0.0,0.2125,0.7875,4
0.6,0.45,0.8,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.07467349999501494,0.0,0.2375,0.7625,5
0.6,0.45,0.4,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.07479066249800326,0.0,0.2375,0.7625,6
0.6,0.45,0.6,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.07489217499880851,0.0,0.2375,0.7625,7
0.6,0.55,0.6,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.07502910001164764,0.0,0.2375,0.7625,8
0.6,0.45,0.2,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.07550782499947672,0.0,0.2375,0.7625,9
0.6,0.55,0.8,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.07561198749215237,0.0,0.2375,0.7625,10
0.6,0.55,0.4,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.07579367501477918,0.0,0.2375,0.7625,11
0.6,0.55,0.2,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.07642971250163555,0.0,0.2375,0.7625,12
0.7,0.55,0.6,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08152866249702129,0.0,0.2625,0.7375,13
0.6,0.35,0.2,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08164940000483512,0.0,0.2625,0.7375,14
0.7,0.55,0.2,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08182606252091773,0.0,0.2625,0.7375,15
0.7,0.45,0.6,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08193801248239652,0.0,0.2625,0.7375,16
0.7,0.35,0.2,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08195675000308711,0.0,0.2625,0.7375,17
0.7,0.45,0.8,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08203331249774237,0.0,0.2625,0.7375,18
0.7,0.55,0.8,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08219686251038638,0.0,0.2625,0.7375,19
0.7,0.45,0.2,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08230678749612252,0.0,0.2625,0.7375,20
0.7,0.55,0.4,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08231308748349875,0.0,0.2625,0.7375,21
0.6,0.35,0.6,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08242551248542895,0.0,0.2625,0.7375,22
0.5,0.35,0.2,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08243127498985814,0.0,0.2625,0.7375,23
0.7,0.45,0.4,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08248802499224439,0.0,0.2625,0.7375,24
0.6,0.35,0.8,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08251347498458017,0.0,0.2625,0.7375,25
0.5,0.35,0.8,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08299374999012343,0.0,0.2625,0.7375,26
0.6,0.35,0.4,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08355366250043517,0.0,0.2625,0.7375,27
0.5,0.35,0.4,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08363069999006711,0.0,0.2625,0.7375,28
0.7,0.35,0.6,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08367867500851389,0.0,0.2625,0.7375,29
0.5,0.35,0.6,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08371097498240943,0.0,0.2625,0.7375,30
0.7,0.35,0.4,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.0837656625009231,0.0,0.2625,0.7375,31
0.7,0.35,0.8,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08460726248529227,0.0,0.2625,0.7375,32
0.5,0.25,0.2,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08942664999551653,0.0,0.2875,0.7125,33
0.7,0.25,0.4,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08948904999215301,0.0,0.2875,0.7125,34
0.5,0.25,0.8,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08950936249902952,0.0,0.2875,0.7125,35
0.6,0.25,0.2,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08952028750286445,0.0,0.2875,0.7125,36
0.7,0.25,0.6,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08964432497862163,0.0,0.2875,0.7125,37
0.6,0.25,0.6,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08970933749594678,0.0,0.2875,0.7125,38
0.7,0.25,0.8,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08987916250475791,0.0,0.2875,0.7125,39
0.6,0.25,0.4,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.08990423748969079,0.0,0.2875,0.7125,40
0.6,0.25,0.8,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.0901526124891916,0.0,0.2875,0.7125,41
0.7,0.25,0.2,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.09022557501339179,0.0,0.2875,0.7125,42
0.5,0.25,0.6,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.09290257499685595,0.0,0.2875,0.7125,43
0.8,0.55,0.8,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.0929541374944165,0.0,0.3,0.7,44
0.8,0.25,0.4,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.09370045000594018,0.0,0.3,0.7,45
0.8,0.45,0.4,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.09413125000037326,0.0,0.3,0.7,46
0.8,0.35,0.6,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.09414788749779746,0.0,0.3,0.7,47
0.8,0.25,0.6,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.09423798748855461,0.0,0.3,0.7,48
0.8,0.35,0.4,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.09454692500980855,0.0,0.3,0.7,49
0.8,0.55,0.6,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.09457133747616808,0.0,0.3,0.7,50
0.8,0.55,0.2,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.0946047250039328,0.0,0.3,0.7,51
0.8,0.25,0.8,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.0950364375000845,0.0,0.3,0.7,52
0.8,0.45,0.2,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.09506143749717921,0.0,0.3,0.7,53
0.8,0.45,0.6,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.09546611248936188,0.0,0.3,0.7,54
0.8,0.35,0.8,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.0962260000136439,0.0,0.3,0.7,55
0.8,0.25,0.2,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.09693020001293462,0.0,0.3,0.7,56
0.8,0.55,0.4,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.0977478500090001,0.0,0.3,0.7,57
0.8,0.45,0.8,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.09829383749320186,0.0,0.3,0.7,58
0.5,0.25,0.4,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.09872183750587737,0.0,0.2875,0.7125,59
0.8,0.35,0.2,5.425727848713524,0.0,0.0375,0.0,0.8,0.0,5.318852848713524,0.0,0.09935940000787014,0.0,0.3,0.7,60
0.8,0.15,0.2,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09263383749953391,0.0,0.3,0.7,61
0.7,0.15,0.6,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.0926999874906187,0.0,0.3,0.7,62
0.6,0.15,0.4,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09304639999356823,0.0,0.3,0.7,63
0.7,0.15,0.2,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09304946250949797,0.0,0.3,0.7,64
0.5,0.15,0.8,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09320831251216077,0.0,0.3,0.7,65
0.8,0.15,0.4,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09328433751534249,0.0,0.3,0.7,66
0.6,0.15,0.8,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09330777499485521,0.0,0.3,0.7,67
0.6,0.15,0.6,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09350153749778656,0.0,0.3,0.7,68
0.7,0.15,0.8,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.093872862512967,0.0,0.3,0.7,69
0.6,0.15,0.2,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09456720000571295,0.0,0.3,0.7,70
0.9,0.45,0.6,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09547286250324305,0.0,0.3125,0.6875,71
0.5,0.15,0.6,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09570783750234568,0.0,0.3,0.7,72
0.9,0.35,0.4,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09586766250606615,0.0,0.3125,0.6875,73
0.5,0.15,0.4,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09589842500474788,0.0,0.3,0.7,74
0.9,0.55,0.8,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09610104999353553,0.0,0.3125,0.6875,75
0.9,0.55,0.6,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09618543747933472,0.0,0.3125,0.6875,76
0.9,0.35,0.8,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09625832499295939,0.0,0.3125,0.6875,77
0.9,0.45,0.8,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09628068748952501,0.0,0.3125,0.6875,78
0.9,0.55,0.4,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09629476250552216,0.0,0.3125,0.6875,79
0.9,0.25,0.4,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09643235001419725,0.0,0.3125,0.6875,80
0.9,0.15,0.4,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09656452500621526,0.0,0.3125,0.6875,81
0.9,0.25,0.8,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.0965890125058877,0.0,0.3125,0.6875,82
0.9,0.55,0.2,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09664322498963429,0.0,0.3125,0.6875,83
0.9,0.45,0.2,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.0967568249990336,0.0,0.3125,0.6875,84
0.9,0.15,0.6,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09676512501926027,0.0,0.3125,0.6875,85
0.9,0.45,0.4,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09694006249105769,0.0,0.3125,0.6875,86
0.9,0.25,0.6,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09703438747976634,0.0,0.3125,0.6875,87
0.9,0.35,0.2,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09706193751242154,0.0,0.3125,0.6875,88
0.9,0.35,0.6,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09709632500687349,0.0,0.3125,0.6875,89
0.9,0.15,0.2,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09716243748130182,0.0,0.3125,0.6875,90
0.9,0.15,0.8,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09759732500640439,0.0,0.3125,0.6875,91
0.9,0.25,0.2,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09765779998360813,0.0,0.3125,0.6875,92
0.8,0.15,0.6,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09793387498575612,0.0,0.3,0.7,93
0.7,0.15,0.4,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.09957031250280579,0.0,0.3,0.7,94
0.8,0.15,0.8,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.10436930001276323,0.0,0.3,0.7,95
0.5,0.15,0.2,5.419566145514432,0.0,0.0375,0.0,0.8,0.0,5.3126911455144326,0.0,0.10541155000964864,0.0,0.3,0.7,96
0.5,0.55,0.8,5.378714723427272,0.0,0.05,0.0,0.7875,0.0,5.243089723427273,0.0,0.06394576250272621,0.0,0.2,0.8,97
0.5,0.55,0.2,5.378714723427272,0.0,0.05,0.0,0.7875,0.0,5.243089723427273,0.0,0.06420161249707235,0.0,0.2,0.8,98
0.5,0.55,0.6,5.378714723427272,0.0,0.05,0.0,0.7875,0.0,5.243089723427273,0.0,0.06459114999302074,0.0,0.2,0.8,99
0.5,0.55,0.4,5.378714723427272,0.0,0.05,0.0,0.7875,0.0,5.243089723427273,0.0,0.06719112500377378,0.0,0.2,0.8,100
