los_confidence_threshold,risk_threshold,path_spread_threshold,seed,avg_rate,outage,beam_success,avg_return,latency_ms,fallback_rate,reactive_guard_rate
0.5,0.25,0.6,2,4.957880880252806,0.0775,0.8075000000000001,4.765943380252806,0.2971824437435089,0.39875,0.60125
0.5,0.25,0.6,3,4.986407974438558,0.08374999999999999,0.7887500000000001,4.780845474438557,0.34113076373955664,0.4125,0.5875
0.5,0.25,0.6,4,5.226530670316105,0.07125000000000001,0.7925,5.0448431703161045,0.3209152662446968,0.4025,0.5975
0.5,0.25,0.8,0,5.117340045017659,0.05500000000000001,0.7837500000000001,4.964027545017659,0.22504556624028282,0.29375,0.70625
0.5,0.25,0.8,1,4.99265390236538,0.08,0.7825,4.7932789023653815,0.3384226562485537,0.44625,0.55375
0.5,0.25,0.8,2,4.957880880252806,0.0775,0.8075000000000001,4.765943380252806,0.30052775375452256,0.39875,0.60125
0.5,0.25,0.8,3,4.986407974438558,0.08374999999999999,0.7887500000000001,4.780845474438557,0.30772045250500923,0.4125,0.5875
0.5,0.25,0.8,4,5.226530670316105,0.07125000000000001,0.7925,5.0448431703161045,0.3096671725103306,0.4025,0.5975
0.5,0.35,0.2,0,5.130162647152371,0.05625,0.78,4.974350147152371,0.2175459450040762,0.285,0.715
0.5,0.35,0.2,1,4.959005125522143,0.0775,0.7837500000000001,4.763317625522144,0.32309040374627784,0.4275,0.5725
0.5,0.35,0.2,2,4.9729970947770985,0.07875,0.805,4.778372094777098,0.2760647762499957,0.36625,0.63375
0.5,0.35,0.2,3,4.989671113322789,0.08125,0.7925,4.788733613322788,0.3042082200039431,0.40375,0.59625
0.5,0.35,0.2,4,5.216643995412134,0.07375,0.7887500000000001,5.028831495412135,0.29528094873739974,0.39125,0.60875
0.5,0.35,0.4,0,5.126282539547271,0.0575,0.77875,4.9675950395472706,0.21869850873713403,0.285,0.715
0.5,0.35,0.4,1,4.928713322176601,0.0825,0.77875,4.722838322176602,0.3253006800031244,0.4275,0.5725
0.5,0.35,0.4,2,4.9729970947770985,0.07875,0.805,4.777997094777098,0.27220057624447236,0.36625,0.63375
0.5,0.35,0.4,3,4.986284761045142,0.08374999999999999,0.7887500000000001,4.780722261045141,0.307207561243672,0.40375,0.59625
0.5,0.35,0.4,4,5.216643995412134,0.07375,0.7887500000000001,5.028831495412135,0.2920853625056452,0.39125,0.60875
0.5,0.35,0.6,0,5.126282539547271,0.0575,0.77875,4.9675950395472706,0.22106359874385362,0.285,0.715
0.5,0.35,0.6,1,4.928713322176601,0.0825,0.77875,4.722838322176602,0.322769471255242,0.4275,0.5725
0.5,0.35,0.6,2,4.9729970947770985,0.07875,0.805,4.777997094777098,0.2745732500147824,0.36625,0.63375
0.5,0.35,0.6,3,4.986284761045142,0.08374999999999999,0.7887500000000001,4.780722261045141,0.31034692125672336,0.40375,0.59625
0.5,0.35,0.6,4,5.216643995412134,0.07375,0.7887500000000001,5.028831495412135,0.29116697123697577,0.39125,0.60875
0.5,0.35,0.8,0,5.126282539547271,0.0575,0.77875,4.9675950395472706,0.22310897873865088,0.285,0.715
